DATE,PRICE,MA,CROSS
1973-01-15,134.600006,133.4708,1
1973-01-16,134.029999,133.5466,1
1973-01-17,134.070007,133.5962,1
1973-01-18,134.33999599999999,133.6406,1
1973-01-19,133.869995,133.6512,1
1973-01-22,133.149994,133.6426,0
1973-01-23,132.440002,133.6302,0
1973-01-24,130.490005,133.5836,0
1973-01-26,129.759995,133.5164,0
1973-01-29,128.46000700000002,133.4302,0
1973-01-30,128.220001,133.3366,0
1973-01-31,128.399994,133.2556,0
1973-02-01,126.940002,133.142,0
1973-02-02,126.480003,133.025,0
1973-02-05,126.0,132.9026,0
1973-02-06,126.269997,132.7842,0
1973-02-07,124.989998,132.6342,0
1973-02-08,123.970001,132.4532,0
1973-02-09,125.860001,132.319,0
1973-02-12,126.879997,132.2024,0
1973-02-13,127.190002,132.0916,0
1973-02-14,125.41999799999999,131.9408,0
1973-02-15,124.43,131.7506,0
1973-02-16,124.550003,131.5588,0
1973-02-20,125.010002,131.3734,0
1973-02-21,123.949997,131.1588,0
1973-02-22,123.68,130.9312,0
1973-02-23,122.339996,130.675,0
1973-02-26,121.269997,130.4038,0
1973-02-27,119.800003,130.1144,0
1973-02-28,120.410004,129.8494,0
1973-03-01,119.529999,129.5734,0
1973-03-02,120.110001,129.305,0
1973-03-05,120.550003,129.0652,0
1973-03-06,121.910004,128.8556,0
1973-03-07,122.279999,128.6626,0
1973-03-08,122.110001,128.4832,0
1973-03-09,121.989998,128.2974,0
1973-03-12,121.860001,128.111,0
1973-03-13,122.089996,127.9142,0
1973-03-14,122.099998,127.6816,0
1973-03-15,121.599998,127.421,0
1973-03-16,121.220001,127.1378,0
1973-03-19,119.940002,126.8278,0
1973-03-20,119.260002,126.4948,0
1973-03-21,117.889999,126.1322,0
1973-03-22,115.690002,125.7262,0
1973-03-23,115.470001,125.3144,0
1973-03-26,115.540001,124.8884,0
1973-03-27,116.889999,124.506,0
1973-03-28,117.139999,124.1568,0
1973-03-29,118.190002,123.84,0
1973-03-30,117.459999,123.5078,0
1973-04-02,115.790001,123.1368,0
1973-04-03,114.470001,122.7488,0
1973-04-04,112.889999,122.3436,0
1973-04-05,112.019997,121.9352,0
1973-04-06,113.269997,121.5908,0
1973-04-09,114.010002,121.2758,0
1973-04-10,114.809998,121.0028,0
1973-04-11,115.290001,120.7442,0
1973-04-12,115.589996,120.488,0
1973-04-13,115.220001,120.2536,0
1973-04-16,114.550003,120.015,0
1973-04-17,113.639999,119.7678,0
1973-04-18,113.709999,119.5166,0
1973-04-19,114.150002,119.2998,0
1973-04-23,113.019997,119.0808,0
1973-04-24,111.230003,118.7882,0
1973-04-25,109.370003,118.438,0
1973-04-26,109.720001,118.0886,0
1973-04-27,108.400002,117.7482,0
1973-04-30,107.849998,117.4166,0
1973-05-01,107.959999,117.0848,0
1973-05-02,109.050003,116.7656,0
1973-05-03,109.809998,116.4828,0
1973-05-04,110.889999,116.227,0
1973-05-07,110.480003,115.9898,0
1973-05-08,110.66999799999999,115.7778,0
1973-05-09,110.540001,115.5926,0
1973-05-10,110.32,115.3908,0
1973-05-11,109.099998,115.1822,0
1973-05-14,106.459999,114.9092,0
1973-05-15,106.139999,114.621,0
1973-05-16,106.099998,114.3048,0
1973-05-17,105.190002,113.963,0
1973-05-18,102.889999,113.5786,0
1973-05-21,100.760002,113.154,0
1973-05-22,101.589996,112.7486,0
1973-05-23,102.089996,112.3486,0
1973-05-24,104.269997,111.992,0
1973-05-25,105.16999799999999,111.6634,0
1973-05-29,104.849998,111.336,0
1973-05-30,103.190002,111.001,0
1973-05-31,102.639999,110.6686,0
1973-06-01,102.300003,110.3568,0
1973-06-04,100.769997,110.0584,0
1973-06-05,101.709999,109.7832,0
1973-06-06,101.699997,109.5064,0
1973-06-07,102.57,109.22,0
1973-06-08,103.720001,108.9516,0
1973-06-11,103.040001,108.6486,0
1973-06-12,104.790001,108.3952,0
1973-06-13,104.33000200000001,108.166,0
1973-06-14,103.559998,107.9478,0
1973-06-15,102.260002,107.7352,0
1973-06-18,100.769997,107.5102,0
1973-06-19,100.959999,107.264,0
1973-06-20,101.190002,107.0076,0
1973-06-21,100.400002,106.7194,0
1973-06-22,100.989998,106.4334,0
1973-06-25,99.43,106.1102,0
1973-06-26,99.959999,105.805,0
1973-06-27,100.220001,105.5184,0
1973-06-28,101.160004,105.2688,0
1973-06-29,100.980003,105.0142,0
1973-07-02,100.150002,104.7342,0
1973-07-03,99.449997,104.4628,0
1973-07-05,99.389999,104.226,0
1973-07-06,99.480003,104.0282,0
1973-07-09,100.010002,103.834,0
1973-07-10,101.18,103.6896,0
1973-07-11,102.690002,103.5864,0
1973-07-12,103.16999799999999,103.4906,0
1973-07-13,103.029999,103.3702,0
1973-07-16,103.970001,103.2534,1
1973-07-17,104.639999,103.1284,1
1973-07-18,105.769997,103.0342,1
1973-07-19,106.519997,102.9512,1
1973-07-20,107.68,102.894,1
1973-07-23,107.75,102.8426,1
1973-07-24,108.290001,102.8264,1
1973-07-25,109.190002,102.881,1
1973-07-26,109.16999799999999,102.9416,1
1973-07-27,109.360001,103.0068,1
1973-07-30,108.879997,103.0806,1
1973-07-31,108.639999,103.1956,1
1973-08-01,107.129997,103.323,1
1973-08-02,106.980003,103.4308,1
1973-08-03,106.82,103.5254,1
1973-08-06,107.209999,103.5842,1
1973-08-07,107.300003,103.6268,1
1973-08-08,106.129997,103.6524,1
1973-08-09,106.150002,103.7116,1
1973-08-10,105.32,103.7652,1
1973-08-13,104.349998,103.8062,1
1973-08-14,103.589996,103.8626,0
1973-08-15,103.349998,103.8954,0
1973-08-16,103.309998,103.9276,0
1973-08-17,103.709999,103.9504,0
1973-08-20,102.66999799999999,103.9294,0
1973-08-21,102.120003,103.911,0
1973-08-22,101.339996,103.842,0
1973-08-23,102.529999,103.806,0
1973-08-24,102.400002,103.7828,0
1973-08-27,102.910004,103.7958,0
1973-08-28,102.989998,103.8402,0
1973-08-29,103.790001,103.8968,0
1973-08-30,103.989998,103.9528,1
1973-08-31,104.870003,104.0422,1
1973-09-04,105.5,104.1324,1
1973-09-05,106.029999,104.2644,1
1973-09-06,106.360001,104.3924,1
1973-09-07,107.019997,104.5284,1
1973-09-10,106.25,104.6302,1
1973-09-11,105.769997,104.726,1
1973-09-12,105.33000200000001,104.8296,1
1973-09-13,105.599998,104.9526,1
1973-09-14,106.07,105.0862,1
1973-09-17,106.269997,105.222,1
1973-09-18,106.300003,105.3478,1
1973-09-19,107.910004,105.4824,1
1973-09-20,108.760002,105.6038,1
1973-09-21,109.459999,105.7296,1
1973-09-24,109.690002,105.8628,1
1973-09-25,109.800003,105.9794,1
1973-09-26,110.620003,106.099,1
1973-09-27,111.269997,106.209,1
1973-09-28,111.199997,106.3026,1
1973-10-01,110.970001,106.3684,1
1973-10-02,111.760002,106.4486,1
1973-10-03,112.129997,106.5254,1
1973-10-04,111.510002,106.5718,1
1973-10-05,112.559998,106.6396,1
1973-10-08,113.16999799999999,106.7158,1
1973-10-09,113.07,106.7996,1
1973-10-10,112.16999799999999,106.8702,1
1973-10-11,113.559998,106.9988,1
1973-10-12,114.099998,107.1412,1
1973-10-15,113.129997,107.2674,1
1973-10-16,113.139999,107.386,1
1973-10-17,112.660004,107.4932,1
1973-10-18,112.82,107.627,1
1973-10-19,113.25,107.769,1
1973-10-22,112.290001,107.9084,1
1973-10-23,111.809998,108.0576,1
1973-10-24,112.129997,108.2284,1
1973-10-25,112.309998,108.4076,1
1973-10-26,112.790001,108.5972,1
1973-10-29,112.089996,108.7648,1
1973-10-30,110.629997,108.924,1
1973-10-31,110.16999799999999,109.085,1
1973-11-01,109.620003,109.2506,1
1973-11-02,108.93,109.3786,0
1973-11-05,107.209999,109.4748,0
1973-11-06,106.290001,109.5424,0
1973-11-07,106.720001,109.617,0
1973-11-08,107.309998,109.6874,0
1973-11-09,105.769997,109.723,0
1973-11-12,105.08000200000001,109.7272,0
1973-11-13,104.739998,109.712,0
1973-11-14,101.980003,109.631,0
1973-11-15,101.629997,109.5364,0
1973-11-16,101.379997,109.4236,0
1973-11-19,99.0,109.2786,0
1973-11-20,96.58000200000001,109.0948,0
1973-11-21,97.32,108.9346,0
1973-11-23,97.300003,108.7686,0
1973-11-26,94.129997,108.5298,0
1973-11-27,93.07,108.2658,0
1973-11-28,94.940002,108.0386,0
1973-11-29,94.620003,107.7728,0
1973-11-30,93.510002,107.4678,0
1973-12-03,91.970001,107.118,0
1973-12-04,91.559998,106.7554,0
1973-12-05,89.730003,106.354,0
1973-12-06,91.269997,105.967,0
1973-12-07,92.32,105.588,0
1973-12-10,93.540001,105.2348,0
1973-12-11,92.199997,104.8594,0
1973-12-12,90.809998,104.440399,0
1973-12-13,89.120003,103.9802,0
