,STOCK,CURRPRICE
2681,ozk,30.81
2682,elgx,1.96
2683,tcco,5.22
2684,atri,709.39
2685,plc,27.23
2686,mtch,91.98
2687,epix,5.75
2688,eqix,594
2689,lbc,11.79
2690,dvax,6.27
2691,agnc,18.24
2692,hibb,27.52
2693,osmt,5.67
2694,tmdi,0.52
2695,bimi,2.65
2696,rost,118.21
2697,laur,18.21
2698,bry,8.44
2699,vtiq,10.35
2700,amtbb,15.51
2701,rnst,35.83
2702,ziono,28.43
2703,oxfd,16.24
2704,pbct,16.25
2705,winc,25.93
2706,onct,4.12
2707,rcmt,2.84
2708,bkep,1.21
2709,fstr,20.51
2710,bdsi,6.04
2711,atsg,23.91
2712,mpb,28.24
2713,kpti,18.44
2714,lcahu,10.22
2715,cncr,23.6
2716,llnw,5.28
2717,sanw,2.18
2718,aaoi,14.58
2719,cifs,1.08
2720,smsi,5.06
2721,gass,3.37
2722,sbac,250.7
2723,vxrt,0.4
2724,chfs,1.09
2725,nmci,1.81
2726,mdca,2.65
2727,mcbs,19
2728,lorl,33.63
2729,afinp,25.21
2730,edtx,10.29
2731,otic,3.56
2732,gnft,20.49
2733,cdxs,18.61
2734,seco,6.95
2735,mcrb,3.51
2736,mreo,2.16
2737,blue,97.57
2738,civb,23.73
2739,aihs,0.67
2740,fraf,37.83
2741,stra,162.82
2742,amd,50.2
2743,usoi,20.66
2744,ssss,6.81
2745,chtr,512.03
2746,banx,22.77
2747,agncm,25.97
2748,cfbk,14.06
2749,bfc,67.07
2750,bsrr,27.98
2751,audc,28.22
2752,seel,1.46
2753,hhhhu,10.62
2754,ndra,1.86
2755,ntrp,1.18
2756,vigi,74.01
2757,wldn,35.28
2758,can,5.8
2759,cdna,23.72
2760,tree,311.1
2761,prta,15.54
2762,svc,24.04
2763,biib,287.32
2764,stfc,31.62
2765,sqlv,28.25
2766,tusk,1.79
2767,cash,37.68
2768,lark,25.17
2769,ddog,41.2
2770,tpic,20.58
2771,frgi,10.86
2772,tgls,7.9
2773,pten,10.05
2774,strm,1.28
2775,pgnx,4.78
2776,cfo,53.83
2777,dcix,0.8
2778,nksh,43.28
2779,amtx,0.86
2780,tcrd,6.36
2781,osis,101.33
2782,gnty,32.61
2783,tlsa,2.81
2784,rare,61.75
2785,cron,8.19
2786,fizz,46.37
2787,susc,26.66
2788,praa,37.3
2789,amat,63.79
2790,fsfg,64.77
2791,ards,7.37
2792,payx,88.2
2793,esbk,16.4
2794,vrnt,58.94
2795,sy,14.52
2796,hmhc,6.45
2797,slgg,3.55
2798,slct,12.01
2799,bbcp,5.15
2800,fldm,3.95
2801,finx,31.92
2802,harp,14.99
2803,mrvl,28.5
2804,orrf,22.8
2805,ulh,19.26
2806,ruth,22.28
2807,bhat,1.98
2808,tgtx,14.53
2809,clbs,3.17
2810,ogi,3.38
2811,avdl,7.6
2812,lind,17.75
2813,glpi,45.31
2814,dhil,143.55
2815,hees,31.55
2816,morf,20.28
2817,mist,18.6
2818,clrb,2.44
2819,kura,13.08
2820,snd,2.26
2821,ylde,33.65
2822,gcbc,29.45
2823,hero,17.48
2824,avgr,1.07
2825,nvec,71.46
2826,plmr,49.13
2827,zm,76.66
2828,skys,1.46
2829,arow,37.69
2830,gern,1.46
2831,clgn,10.78
2832,rfil,6.9
2833,cetv,4.51
2834,iboc,43.45
2835,paas,21.79
2836,mdlz,55.14
2837,lmfa,0.79
2838,wisa,0.54
2839,sabr,23.17
2840,xbio,1.51
2841,jobs,91.56
2842,sybt,41.16
2843,nodk,16.18
2844,avgop,1146.83
2845,usap,14.3
2846,tact,10.81
2847,atni,56.59
2848,idya,10.04
2849,eric,9.09
2850,mlhr,41.51
2851,ppc,29.93
2852,srne,4.41
2853,dzsi,10.31
2854,adp,176.03
2855,meoh,39.67
2856,myrg,32.17
2857,hcap,8.93
2858,itmr,15.08
2859,shbi,16.73
2860,sybx,3.33
2861,ljpc,8.03
2862,domo,25.38
2863,urbn,26.91
2864,potx,17
2865,nvda,249.7
2866,xelb,1.45
2867,safm,162.05
2868,blmn,22.2
2869,mara,0.99
2870,qtrx,24.41
2871,hstm,27.95
2872,efbi,16.05
2873,amkr,13.35
2874,vrsn,214.04
2875,tril,2.8
2876,midd,109.57
2877,cswi,79.89
2878,wwr,2.36
2879,mbot,12
2880,egrx,59.79
2881,vctr,21.82
2882,tivo,8.49
2883,bsmt,25.24
2884,ftxg,22.24
2885,mrns,2.34
2886,lk,49.15
2887,hx,0.65
2888,trow,132.49
2889,appf,123.58
2890,kmda,6.41
2891,zixi,8.11
2892,mbinp,27.44
2893,acor,2.18
2894,ofs,11.31
2895,ltrpa,7.76
2896,gmab,22.62
2897,doyu,9.09
2898,qrteb,8.69
2899,pcyo,12.7
2900,snsr,24.19
2901,wvfc,16.66
2902,pth,96.56
2903,nfty,35.73
2904,prnb,57.76
2905,mbio,4.52
2906,bcom,1.6
2907,nymtn,25.62
2908,tipt,7.93
2909,nwl,20.3
2910,pacw,37.72
2911,amhcu,10.44
2912,bsml,25.15
2913,qrvo,114.59
2914,osbc,13
2915,patk,56.15
2916,orbc,4.29
2917,daio,4.21
2918,cuba,6.81
2919,hall,18.5
2920,cil,40.18
2921,veru,4.1
2922,rmcf,8.87
2923,insg,8.5
2924,pfi,39.96
2925,hhhh,10.3
2926,nxtc,53.32
2927,nfbk,16.85
2928,thff,44.75
2929,crto,14.08
2930,thcbu,10.6
2931,ehth,94.32
2932,sito,0.29
2933,exc,46.96
2934,oflx,109.75
2935,xel,65.16
2936,dlpn,0.77
2937,fisv,120.79
2938,allk,84.85
2939,pfbi,17.84
2940,ctas,287.69
2941,ford,1.1
2942,jnce,7.53
2943,oss,2.08
2944,flir,54.42
2945,arna,46.69
2946,regn,386.1
2947,clbk,17
2948,scon,0.21
2949,hbp,1.45
2950,atos,1.52
2951,asna,6.28
2952,trmk,34.84
2953,reta,218.19
2954,ptnr,4.19
2955,nati,46.45
2956,very,12.17
2957,jd,39.83
2958,tenx,1.28
2959,lsxmk,50.24
2960,ospn,20.36
2961,fitbi,28.89
2962,dwin,25.94
2963,faro,56.21
2964,hds,40.71
2965,fwonk,47.75
2966,crvs,5.43
2967,tblt,0.35
2968,mtls,18.84
2969,camt,12.73
2970,pirs,3.39
2971,aqst,4.14
2972,omex,4.35
2973,roic,17.23
2974,nbl,23.61
2975,nrim,39.06
2976,lmat,37
2977,mik,6.46
2978,xpel,14.79
2979,entx,2.77
